question_number,question,concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.",Kinematics
2,What is the dielectric constant of a metal?,Kinematics
3,"————— gives the information on field strength, direction, and nature of the charge.",Kinematics
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,Work and Energy
5,What happens when a glass rod is rubbed with silk?,Kinematics
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,Work and Energy
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,Kinematics
8,A freely suspended magnet aligns in which direction?,Kinematics
9,The power factor is one for which of the following?,Work and Energy
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,Kinematics
11,How can the fringe width increase in Young’s double-slit experiment?,Kinematics
12,Which of the following light phenomena confirms the transverse nature of light?,Optics
13,Polaroid glasses are used in sunglasses because,Kinematics
14,Which of the following does the wave theory of light not explain?,Optics; Waves and Oscillations
15,Which of the following is conserved when light waves interfere?,Optics
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,Waves and Oscillations
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are",Kinematics
18,A nucleus undergoes gamma decay due to,Kinematics
19,Isotones have the same number of,Kinematics
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,Electricity
